noise,k,oversample,n_metacells,rho_true,rho_decoy,auroc
1.0,25,1,317,0.1142,0.0003,0.8965
1.0,25,2,637,0.128,0.0025,0.9708
1.0,25,4,1277,0.1209,0.0024,0.9888
1.0,25,8,2556,0.1215,0.0002,0.9962
1.0,25,16,5116,0.1195,0.0003,0.9978
1.0,50,1,156,0.166,0.0038,0.9078
1.0,50,2,317,0.1818,-0.0003,0.9773
1.0,50,4,637,0.1974,0.0031,0.9924
1.0,50,8,1277,0.1868,0.0027,0.9985
1.0,50,16,2556,0.1868,0.0026,0.9994
1.5,25,1,317,0.0624,0.0007,0.8005
1.5,25,2,637,0.0646,0.0009,0.8811
1.5,25,4,1277,0.0659,-0.0004,0.9297
1.5,25,8,2556,0.0599,0.0001,0.9549
1.5,25,16,5116,0.0625,-0.0003,0.9818
1.5,50,1,156,0.1196,0.0029,0.8315
1.5,50,2,317,0.1157,0.0009,0.8852
1.5,50,4,637,0.1081,0.0024,0.9403
1.5,50,8,1277,0.0961,0.0004,0.9709
1.5,50,16,2556,0.0938,0.0007,0.9845
2.5,25,1,317,0.0281,-0.0054,0.6529
2.5,25,2,637,0.0281,-0.0027,0.6633
2.5,25,4,1277,0.0272,-0.0013,0.7442
2.5,25,8,2556,0.0254,-0.0007,0.8062
2.5,25,16,5116,0.0272,-0.0011,0.8224
2.5,50,1,156,0.0471,-0.004,0.6698
2.5,50,2,317,0.0452,-0.0017,0.7356
2.5,50,4,637,0.0578,-0.0026,0.7825
2.5,50,8,1277,0.0542,-0.0001,0.8337
2.5,50,16,2556,0.0472,0.0002,0.9002
