n_metacells,median_rho_true,median_rho_decoy,frac_true_gt_0p3,auroc,noise,k,pair
798,0.352,0.006,0.9,1.0,0.15,10,GLUE
320,0.49,0.009,1.0,1.0,0.15,25,GLUE
160,0.599,0.005,1.0,1.0,0.15,50,GLUE
320,0.009,-0.001,0.0,0.529,0.15,25,stock
798,0.269,0.003,0.175,1.0,0.3,10,GLUE
320,0.394,0.006,0.975,1.0,0.3,25,GLUE
160,0.508,0.007,1.0,1.0,0.3,50,GLUE
320,0.009,-0.001,0.0,0.529,0.3,25,stock
798,0.142,0.002,0.0,0.987,0.6,10,GLUE
320,0.21,0.003,0.1,0.992,0.6,25,GLUE
160,0.284,0.009,0.45,0.99,0.6,50,GLUE
320,0.009,-0.001,0.0,0.529,0.6,25,stock
798,0.054,0.001,0.0,0.78,1.0,10,GLUE
320,0.114,0.001,0.0,0.888,1.0,25,GLUE
160,0.144,-0.0,0.05,0.898,1.0,50,GLUE
320,0.009,-0.001,0.0,0.529,1.0,25,stock
798,0.045,-0.001,0.0,0.793,1.5,10,GLUE
320,0.054,0.003,0.0,0.735,1.5,25,GLUE
160,0.09,0.005,0.0,0.767,1.5,50,GLUE
320,0.009,-0.001,0.0,0.529,1.5,25,stock
798,0.011,-0.001,0.0,0.611,2.5,10,GLUE
320,0.018,0.0,0.0,0.559,2.5,25,GLUE
160,0.041,0.006,0.0,0.628,2.5,50,GLUE
320,0.009,-0.001,0.0,0.529,2.5,25,stock
