group	gene	chrom	tss	strand	ensembl_id
HSC MPP	HLF	chr17	55264919	+	ENSG00000108924
HSC MPP	AVP	chr20	3084724	-	ENSG00000101200
HSC MPP	CRHBP	chr5	76952857	+	ENSG00000145708
HSC MPP	MECOM	chr3	169663775	-	ENSG00000085276
LMPP	FLT3	chr13	28100592	-	ENSG00000122025
LMPP	SATB1	chr3	18445621	-	ENSG00000182568
Early GMP	MPO	chr17	58280935	-	ENSG00000005381
Early GMP	ELANE	chr19	850951	+	ENSG00000197561
Early GMP	PRTN3	chr19	840999	+	ENSG00000196415
Early GMP	CEBPA	chr19	33302534	-	ENSG00000245848
Late GMP	LYZ	chr12	69348381	+	ENSG00000090382
Late GMP	CTSG	chr14	24576250	-	ENSG00000100448
Monocyte	CD14	chr5	140633711	-	ENSG00000170458
Monocyte	FCN1	chr9	134917982	-	ENSG00000085265
Monocyte	LYZ	chr12	69348381	+	ENSG00000090382
Monocyte	VCAN	chr5	83471618	+	ENSG00000038427
Pro-Monocyte	MNDA	chr1	158802264	+	ENSG00000163563
Pro-Monocyte	CSTA	chr3	122325238	+	ENSG00000121552
MEP	GATA1	chrX	48783122	+	ENSG00000102145
MEP	KLF1	chr19	12887201	-	ENSG00000105610
MEP	ITGA2B	chr17	44389649	-	ENSG00000005961
Early Erythroid	GATA1	chrX	48783122	+	ENSG00000102145
Early Erythroid	KLF1	chr19	12887201	-	ENSG00000105610
Early Erythroid	TFRC	chr3	196082162	-	ENSG00000072274
Late Erythroid	HBB	chr11	5229395	-	ENSG00000244734
Late Erythroid	AHSP	chr16	31512938	+	ENSG00000169877
Late Erythroid	ALAS2	chrX	55030986	-	ENSG00000158578
Late Erythroid	SLC4A1	chr17	44268162	-	ENSG00000004939
Megakaryocyte Precursor	PF4	chr4	73982111	-	ENSG00000163737
Megakaryocyte Precursor	VWF	chr12	6124770	-	ENSG00000110799
Megakaryocyte Precursor	ITGA2B	chr17	44389649	-	ENSG00000005961
Megakaryocyte Precursor	GP9	chr3	129060774	+	ENSG00000169704
Pro-B	VPREB1	chr22	22244780	+	ENSG00000169575
Pro-B	DNTT	chr10	96304409	+	ENSG00000107447
Pro-B	RAG1	chr11	36510348	+	ENSG00000166349
Pro-B	EBF1	chr5	159100331	-	ENSG00000164330
Pre-B	PAX5	chr9	37034268	-	ENSG00000196092
Pre-B	CD79A	chr19	41877104	+	ENSG00000105369
Pre-B	VPREB3	chr22	23754454	-	ENSG00000128218
B	MS4A1	chr11	60455752	+	ENSG00000156738
B	CD79B	chr17	63932629	-	ENSG00000007312
B	CD19	chr16	28931965	+	ENSG00000177455
Plasma Cell	JCHAIN	chr4	70681817	-	ENSG00000132465
Plasma Cell	MZB1	chr5	139390081	-	ENSG00000170476
Plasma Cell	XBP1	chr22	28800597	-	ENSG00000100219
Early Lymphoid	IL7R	chr5	35852695	+	ENSG00000168685
Early Lymphoid	DNTT	chr10	96304409	+	ENSG00000107447
Naive T	CCR7	chr17	40565478	-	ENSG00000126353
Naive T	SELL	chr1	169712202	-	ENSG00000188404
Naive T	CD3E	chr11	118304701	+	ENSG00000198851
CD4 Memory T	CD3D	chr11	118342713	-	ENSG00000167286
CD4 Memory T	IL7R	chr5	35852695	+	ENSG00000168685
CD4 Memory T	CD40LG	chrX	136648139	+	ENSG00000102245
CD8 Memory T	CD8A	chr2	86808396	-	ENSG00000153563
CD8 Memory T	GZMK	chr5	55024249	+	ENSG00000113088
CD8 Memory T	CD3D	chr11	118342713	-	ENSG00000167286
NK	GNLY	chr2	85685175	+	ENSG00000115523
NK	NKG7	chr19	51375628	-	ENSG00000105374
NK	KLRD1	chr12	10226058	+	ENSG00000134539
NK	NCAM1	chr11	112961275	+	ENSG00000149294
pDC	LILRA4	chr19	54339162	-	ENSG00000239961
pDC	CLEC4C	chr12	7751620	-	ENSG00000198178
pDC	IRF8	chr16	85899116	+	ENSG00000140968
cDC	CD1C	chr1	158289769	+	ENSG00000158481
cDC	FCER1A	chr1	159289714	+	ENSG00000179639
cDC	IRF8	chr16	85899116	+	ENSG00000140968
EoBasoMast Precursor	MS4A2	chr11	60088261	+	ENSG00000149534
EoBasoMast Precursor	CPA3	chr3	148865278	+	ENSG00000163751
EoBasoMast Precursor	GATA2	chr3	128493208	-	ENSG00000179348
Cycling Progenitor	MKI67	chr10	128126458	-	ENSG00000148773
Cycling Progenitor	TOP2A	chr17	40417941	-	ENSG00000131747
Stromal	COL1A1	chr17	50201704	-	ENSG00000108821
Stromal	LUM	chr12	91111682	-	ENSG00000139329
Stromal	PDGFRB	chr5	150186363	-	ENSG00000113721
